RIVPACS Model,End Group,Season Code,Season,TL1 BMWP,TL1 NTAXA,TL1 ASPT,"TL2 WHPT Score (nonAb,DistFam)","TL2 WHPT NTAXA (nonAb,DistFam)","TL2 WHPT ASPT (nonAb,DistFam)","TL2 WHPT Score (nonAb,CompFam)","TL2 WHPT NTAXA (nonAb,CompFam)","TL2 WHPT ASPT (nonAb,CompFam)","TL2 WHPT Score (AbW,DistFam)","TL2 WHPT NTAXA (AbW,DistFam)","TL2 WHPT ASPT (AbW,DistFam)","TL2 WHPT Score (AbW,CompFam)","TL2 WHPT NTAXA (AbW,CompFam)","TL2 WHPT ASPT (AbW,CompFam)",TL1 AWIC(Fam),TL4 AWIC(Sp) Murphy,TL5 AWIC(Sp) Murphy,TL4 WFD AWIC(Sp) McFarland,TL5 WFD AWIC(Sp) McFarland,TL4 Raddum,TL5 Raddum,TL4 SEPA % Acid Sensitive Taxa,TL5 SEPA % Acid Sensitive Taxa,TL4 MetTol,TL5 MetTol,TL1/2 LIFE(Fam) (CompFam),TL2 LIFE(Fam) (DistFam),TL3 LIFE(Fam) (DistFam),TL4 LIFE(Sp),TL5 LIFE(Sp),TL3 PSI(Fam),TL4 PSI(Sp),TL5 PSI(Sp),TL3 E-PSI(fam69),TL4 E-PSI(mixed level),TL5 E-PSI(mixed level),TL4 oFSIsp,TL5 oFSIsp,TL4 ToFSIsp,TL5 ToFSIsp,TL4 CoFSIsp,TL5 CoFSIsp,TL4 GSFI FI05,TL5 GSFI FI05,TL4 GSFI FI09,TL5 GSFI FI09,TL4 GSFI FI091,TL5 GSFI FI091,TL4 GSFI FI091_K,TL5 GSFI FI091_K,TL4 GSFI FI092,TL5 GSFI FI092,TL4 GSFI FI11_12,TL5 GSFI FI11_12,TL4 GSFI FI14_16,TL5 GSFI FI14_16,TL4 GSFI FI15_17,TL5 GSFI FI15_17,TL4 GSFI FI152,TL5 GSFI FI152,TL2 SPEAR(Fam) %,TL4 SPEAR(Sp) %,TL5 SPEAR(Sp) %,SPEAR(pesticides) TL2 fam Knillmann 2018,SPEAR(refuge) TL2 fam Knillmann 2018,SPEAR(pesticides) TL4 sp Knillmann 2018,SPEAR(refuge) TL4 sp Knillmann 2018,SPEAR(pesticides) TL5 sp Knillmann 2018,SPEAR(refuge) TL5 sp Knillmann 2018,TL4 CCI,TL5 CCI,TL2 08 Group ARMI NTaxa,TL2 08 Group ARMI Score,TL2 33 Group ARMI NTaxa,TL2 33 Group ARMI Score,TL2 33 Group Flow & Silt NTaxa,TL2 33 Group Flow & Silt Score,TL2 14 Group Urban NTaxa,TL2 14 Group Urban Score
RIVPACS IV GB,2,4,Spring & Summer,133.90909,22.09091,6.06355,157.70909,24.36364,6.46518,156.97273,24.27273,6.46291,157.87273,24.36364,6.45982,157.26364,24.27273,6.46264,4.68209,6.21418,6.21418,8.36864,8.36864,1,1,21.05027,20.81627,46.53082,44.59882,7.38355,7.37418,7.37418,8.16064,8.18264,63.39991,76.69309,74.45373,86.98791,90.56627,89.11945,5.92518,6.157,5.13291,5.20127,4.98855,5.10818,-0.557,-0.546,0.70045,0.76282,0.70045,0.76282,0.85855,0.96,0.12491,0.12491,0.00355,-0.04309,0.99482,1.08782,0.70464,0.55527,0.93673,0.66109,47.77364,45.58682,53.05655,34.41245,96.23982,96.97136,89.88,38.87882,94.77818,7.90064,7.78436,5.81818,11.18182,16.90909,30.90909,16.90909,29.27273,10.09091,16.18182
RIVPACS IV GB,2,5,Spring & Autumn,141.81818,23.18182,6.102,163.52727,25,6.52855,162.62727,24.90909,6.51936,165.29091,25,6.59964,164.49091,24.90909,6.596,4.55991,6.01073,6.01073,8.03073,8.03073,1,1,24.75609,24.42991,46.76209,44.45055,7.37382,7.37673,7.37673,8.178,8.26,63.06345,74.27645,73.31927,85.93182,87.78382,86.54791,5.88918,6.09064,5.12518,5.19245,4.97164,5.08009,-0.44227,-0.427,0.77691,0.83882,0.77691,0.83882,0.84945,0.94791,0.08655,0.09482,-0.03173,-0.12127,0.98755,1.09009,0.70536,0.60482,0.88909,0.61082,52.24182,48.00836,54.77018,49.69882,93.73409,93.908,88.205,57.59291,92.50718,7.42655,7.41236,5.45455,11.81818,17.18182,32.72727,17.18182,31,9.72727,17
RIVPACS IV GB,2,6,Summer & Autumn,142.72727,23.72727,5.99527,169.78182,26.36364,6.42291,168.03636,26.18182,6.40382,171.10909,26.36364,6.47318,169.47273,26.18182,6.45873,4.67682,6.10509,6.10509,8.20745,8.20745,1,1,27.24755,26.97864,45.18091,43.61227,7.37627,7.37482,7.37482,8.14118,8.227,62.89482,74.70064,74.19082,85.49036,90.41118,88.98309,5.95927,6.168,5.08982,5.11355,4.97591,5.06236,-0.48264,-0.50864,0.65845,0.71745,0.65845,0.71745,0.81582,0.916,0.12,0.12927,0.00373,-0.08655,0.956,1.06836,0.71345,0.59809,0.85136,0.58782,47.94409,46.59282,51.51773,42.57973,94.60218,93.93618,88.55645,51.04309,92.66227,6.76818,6.64709,5.90909,12.54545,17.90909,34.36364,17.90909,32.72727,10.45455,18.45455
RIVPACS IV GB,2,7,"Spring, Summer & Autumn",155.90909,25.36364,6.13273,183.66364,28.18182,6.50391,182.04545,28,6.49218,185.50909,28.18182,6.56736,184,28,6.55991,4.66318,6.09391,6.09391,8.16536,8.16536,1,1,24.632,24.33564,46.41436,44.39291,7.35236,7.35082,7.35082,8.18609,8.27082,62.65336,74.29373,73.62173,85.75973,89.95518,88.63964,5.90291,6.11545,5.10445,5.15982,4.96464,5.07027,-0.47009,-0.47145,0.72109,0.77591,0.72109,0.77591,0.82218,0.91809,0.15109,0.15845,0.06227,-0.01918,0.975,1.07691,0.71336,0.58309,0.88127,0.63245,50.483,47.74391,54.76545,42.32291,94.72009,94.624,88.78509,49.25827,93.07955,7.78991,7.68482,5.90909,13.45455,18.54545,37.09091,18.54545,33.45455,10.45455,18.81818
RIVPACS IV GB,3,1,Spring,82.63636,13.18182,6.27345,98,13.72727,7.14418,97.9,13.72727,7.13718,96.26364,13.72727,7.01718,96.14545,13.72727,7.00909,3.73418,5.56027,5.56027,7.20182,7.20182,0.90909,0.90909,8.54836,8.51482,44.68591,42.62773,7.91518,7.91518,7.91518,8.59555,8.60573,78.13645,94.38655,90.80509,96.69291,98.08564,96.62809,5.97427,6.30073,5.97109,6.03991,5.48255,5.63582,-0.05373,-0.05373,1.16455,1.21164,1.16455,1.21164,0.89482,1.00427,0.61227,0.60145,0.52027,0.55055,1.59209,1.66373,1.08955,1.12027,1.18027,0.84418,53.90509,53.08073,57.566,44.28682,90.45582,87.41964,86.08391,47.63445,90.03973,8.22464,7.85936,4,6.36364,10.36364,15.45455,10.36364,18.27273,6.63636,9.54545
RIVPACS IV GB,3,2,Summer,61.09091,11.27273,5.35391,75.38182,12,6.23773,75.24545,12,6.22582,74.18182,12,6.12627,73.99091,12,6.11,4.27918,6.06655,6.06655,8.241,8.241,0.95455,0.95455,9.95018,9.52773,43.45318,40.07,7.89,7.89,7.89,8.51764,8.56445,78.73636,98.55609,92.585,95.77864,99.50945,96.68855,5.89318,6.29564,5.45255,5.33064,5.15918,5.23027,-0.207,-0.207,0.84682,1.08073,0.84682,1.08073,0.90909,1.06718,0.54236,0.61673,0.62636,0.62336,1.52836,1.68282,1.11991,1.162,1.15409,0.74727,43.18445,40.51827,46.47936,34.49409,98.69382,79.89091,96.846,35.78418,98.57164,5.67809,5.44345,3.81818,6.81818,10.45455,16.90909,10.45455,18.63636,6.63636,10.27273
RIVPACS IV GB,3,3,Autumn,89.90909,14.45455,6.22645,106.99091,15.18182,7.07309,106.80909,15.18182,7.06064,106.95455,15.18182,7.05409,106.77273,15.18182,7.04145,3.95982,5.12645,5.12645,6.716,6.716,1,1,19.88573,19.33991,41.93945,40.33564,7.86536,7.86536,7.86536,8.67545,8.70827,76.91809,91.82027,88.12918,95.75573,97.27136,95.33382,5.94018,6.16718,6.27464,6.11673,5.64327,5.63264,-0.43745,-0.41591,1.24345,1.44482,1.24345,1.44482,0.95455,1.199,0.39745,0.44655,0.41127,0.40345,1.59418,1.74473,1.06473,1.07682,1.10336,0.78191,56.98182,57.69518,61.34045,61.27627,89.37718,88.90482,83.32036,62.97318,88.96509,8.16891,8.16891,4.09091,6.81818,11,16.18182,11,21.54545,6.81818,10.27273
RIVPACS IV GB,3,4,Spring & Summer,101.36364,16,6.29691,120.54545,16.90909,7.11055,120.41818,16.90909,7.10264,119.67273,16.90909,7.04209,119.45455,16.90909,7.02882,3.87073,5.53373,5.53373,7.24282,7.24282,0.95455,0.95455,9.28782,9.13455,43.75609,41.072,7.91945,7.91945,7.91945,8.68973,8.72455,79.897,95.96209,91.83036,96.27864,98.53727,96.69155,5.96636,6.30955,5.76145,5.83345,5.36055,5.52127,-0.12055,-0.12055,1.01209,1.14655,1.01209,1.14655,0.98573,1.12645,0.57245,0.61245,0.66073,0.66191,1.59618,1.719,1.06864,1.089,1.138,0.83882,52.49,50.92427,57.81691,37.00473,96.02645,84.56427,91.92291,39.16918,95.72255,9.32791,8.87145,4.63636,8.36364,12.27273,20.81818,12.27273,22.45455,7.63636,12.09091
RIVPACS IV GB,3,5,Spring & Autumn,107.18182,16.81818,6.36655,126.76364,17.72727,7.16918,126.59091,17.72727,7.15873,126.10909,17.72727,7.12782,125.88182,17.72727,7.11445,3.87291,5.24882,5.24882,6.78127,6.78127,1,1,14.61664,14.39136,43.27445,40.89464,7.86855,7.86855,7.86855,8.72845,8.765,77.126,92.28355,88.658,95.759,97.54173,95.78209,5.94027,6.24609,6.029,6.08173,5.50382,5.64018,-0.16873,-0.15409,1.20991,1.34727,1.20991,1.34727,0.87818,1.07182,0.53991,0.56155,0.58709,0.59418,1.58227,1.71455,1.06636,1.07973,1.12473,0.84464,56.88764,57.02,62.81609,51.97609,90.05209,88.35209,83.73255,54.32418,89.58536,10.66118,10.36764,4.36364,7.81818,12.63636,20.90909,12.63636,23.63636,7.27273,11.54545
RIVPACS IV GB,3,6,Summer & Autumn,105.27273,16.72727,6.27136,124.8,17.72727,7.05191,124.64545,17.72727,7.04273,125.39091,17.72727,7.07491,125.14545,17.72727,7.06027,3.96791,5.23536,5.23536,6.861,6.861,1,1,16.50127,15.84473,42.56818,39.76109,7.92173,7.92173,7.92173,8.72482,8.76564,79.46355,93.74136,90.22682,96.50264,98.09136,96.49882,5.93973,6.25518,5.85118,5.84764,5.40218,5.51027,-0.27182,-0.25764,1.10382,1.298,1.10382,1.298,1.06918,1.25455,0.55064,0.61645,0.69445,0.68382,1.56591,1.73791,1.07118,1.09082,1.12018,0.82064,53.97,53.93891,60.58655,48.56982,93.77545,87.20745,88.899,50.12136,93.34927,8.10291,7.98873,4.63636,8.63636,12.81818,21.72727,12.81818,24.36364,7.72727,12.90909
RIVPACS IV GB,3,7,"Spring, Summer & Autumn",117.72727,18.18182,6.45118,138.36364,19.27273,7.19018,138.21818,19.27273,7.18191,139.38182,19.27273,7.23618,139.14545,19.27273,7.22255,3.90345,5.29318,5.29318,6.875,6.875,1,1,13.69536,13.388,43.07109,40.29736,7.95573,7.95573,7.95573,8.79036,8.82591,79.19818,93.59209,90.16673,96.06364,97.93,96.31136,5.96227,6.28618,5.83236,5.89882,5.39936,5.55027,-0.10327,-0.09055,1.09736,1.25909,1.09736,1.25909,0.97845,1.15845,0.59045,0.639,0.72645,0.72345,1.578,1.724,1.06382,1.079,1.12291,0.86136,55.94227,55.74555,63.13309,45.58464,93.45182,87.12545,87.84164,47.57182,93.00373,10.57782,10.20136,4.90909,9.72727,13.45455,24.27273,13.45455,25.72727,8,14.09091
RIVPACS IV GB,4,1,Spring,100,15,6.66133,119.2,16.11111,7.40667,118.51111,16.11111,7.36478,118.07778,16.11111,7.33578,117.38889,16.11111,7.29378,3.96644,5.88633,5.88633,7.661,7.661,0.94444,0.94444,27.59522,27.56578,44.29189,43.57833,7.99744,7.99744,7.99744,8.52444,8.52544,82.053,92.40122,91.99033,98.58522,98.31767,98.31767,6.09078,6.35522,6.03356,6.01011,5.55856,5.63778,0.299,0.31767,1.10878,1.11711,1.10878,1.11711,1.01178,1.02344,0.592,0.57722,0.55278,0.51144,1.42,1.53867,1.07544,1.08811,1.25911,1.01744,59.95222,57.99833,61.32089,56.29978,96.61944,95.04644,93.65156,67.24811,95.49,8.89189,7.57122,5.11111,8.88889,10.88889,17.11111,10.88889,21.77778,7.88889,12.77778
RIVPACS IV GB,4,2,Summer,99.22222,15.77778,6.28478,116.62222,16.77778,6.95,115.7,16.77778,6.895,114.72222,16.77778,6.84133,113.77778,16.77778,6.78511,4.398,6.378,6.378,8.28378,8.28378,1,1,8.59856,8.45044,43.67056,41.53767,7.75889,7.75889,7.75889,8.31089,8.30867,80.54367,89.41122,87.95678,98.24511,98.01478,97.74011,6.10744,6.375,5.29344,5.22167,5.14333,5.196,0.25689,0.27033,0.87589,0.912,0.87589,0.912,0.94422,0.962,0.70656,0.70611,0.71033,0.64333,1.36133,1.484,1.02133,1.05222,1.22211,0.95967,50.611,50.79922,55.06211,36.332,98.00067,96.09767,92.727,39.05267,97.67467,9.13544,7.37911,5.66667,8.77778,13.22222,20.44444,13.22222,24.44444,8.88889,13.11111
RIVPACS IV GB,4,3,Autumn,107.55556,17,6.28967,127.11111,18,7.02389,124.64444,17.77778,6.972,128.23333,18,7.07211,125.7,17.77778,7.01867,4.27411,6.012,6.012,7.96067,7.96067,1,1,27.79611,27.56756,42.43844,40.93833,7.77656,7.78033,7.78033,8.45778,8.47011,78.69289,90.85444,88.52956,97.22289,98.32878,97.32378,6.11311,6.29156,5.72456,5.64878,5.39078,5.41,0.02889,0.02889,1.04656,1.13489,1.04656,1.13489,0.97011,1.01833,0.54456,0.58433,0.29133,0.20567,1.34878,1.39322,1.10556,1.11922,1.28233,1.03056,56.90056,57.20222,60.12322,57.21589,98.13122,88.10033,96.06256,65.34678,97.47722,9.18444,9.08922,4.88889,9.11111,12.44444,19.66667,12.44444,25.11111,8.22222,13.55556
RIVPACS IV GB,4,4,Spring & Summer,133.66667,20,6.67356,155.61111,21.22222,7.32889,154.74444,21.22222,7.28833,155.61111,21.22222,7.33011,154.72222,21.22222,7.28822,4.13844,5.92178,5.92178,7.77322,7.77322,1,1,16.385,16.15389,44.17,42.13722,7.82933,7.82933,7.82933,8.503,8.51133,79.48589,90.78289,89.65989,97.92489,98.02878,97.84578,6.08633,6.37156,5.55456,5.61078,5.28478,5.41644,0.26133,0.28844,1.01367,1.03789,1.01367,1.03789,0.95956,0.97167,0.67778,0.67689,0.71467,0.653,1.36111,1.508,1.012,1.01833,1.22311,0.977,57.08389,56.09956,61.81733,42.49111,97.68033,96.00622,93.70144,46.52567,97.30578,9.911,8.38856,5.88889,11.22222,14.55556,25,14.55556,28.11111,9.33333,16
RIVPACS IV GB,4,5,Spring & Autumn,133.55556,20.44444,6.533,158.46667,22,7.22533,155.73333,21.77778,7.17,161.1,22,7.34311,158.3,21.77778,7.28678,4.159,5.84089,5.84089,7.70078,7.70078,1,1,27.29678,27.20989,43.35967,41.89333,7.75933,7.76111,7.76111,8.507,8.52222,79.25811,91.33733,89.32767,96.98344,98.07522,97.35367,6.11256,6.32411,5.80544,5.75856,5.43644,5.48356,0.172,0.18744,1.08922,1.15122,1.08922,1.15122,0.93422,0.96344,0.57744,0.60067,0.49,0.41811,1.34356,1.42067,1.08333,1.09556,1.26233,1.03233,58.81856,59.04022,63.06344,56.17444,97.34489,91.02189,94.84411,65.62778,96.48544,10.47567,9.87589,5.44444,10.88889,13.88889,23.66667,13.88889,28.22222,9,16
RIVPACS IV GB,4,6,Summer & Autumn,135.66667,20.88889,6.489,158.57778,22.22222,7.14067,155.82222,22,7.08511,160.32222,22.22222,7.22133,157.5,22,7.16422,4.27933,6.05911,6.05911,7.99222,7.99222,1,1,15.06633,14.92733,43.34044,40.95478,7.70856,7.71078,7.71078,8.41967,8.41667,77.91922,89.13478,86.97467,96.96322,97.75289,97.074,6.10156,6.328,5.43,5.44078,5.21911,5.30422,0.21111,0.22178,0.96322,1.04278,0.96322,1.04278,0.94733,0.97033,0.63678,0.66911,0.57578,0.48267,1.33844,1.41078,1.02778,1.03689,1.24467,1.02878,55.52389,55.85733,60.80722,43.37844,98.10767,92.75667,94.69033,47.39511,97.79522,10.29544,9.07911,5.88889,11.66667,15.11111,26.33333,15.11111,30,9.55556,16.88889
